time,source,emotion,emotion_confidence,identity,identity_confidence,verified,face_status,faces_detected,result_image
2026-04-15 10:21:10,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102110_203018.jpg
2026-04-15 10:21:12,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102112_392328.jpg
2026-04-15 10:21:14,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102114_489452.jpg
2026-04-15 10:21:16,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102116_569936.jpg
2026-04-15 10:21:18,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102118_625635.jpg
2026-04-15 10:21:20,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102120_702801.jpg
2026-04-15 10:21:22,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102122_781789.jpg
2026-04-15 10:21:24,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102124_930717.jpg
2026-04-15 10:21:26,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102126_934582.jpg
2026-04-15 10:21:29,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102129_021467.jpg
2026-04-15 10:21:31,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102131_251576.jpg
2026-04-15 10:21:33,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102133_474501.jpg
2026-04-15 10:21:35,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102135_478731.jpg
2026-04-15 10:21:37,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102137_536901.jpg
2026-04-15 10:21:39,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102139_690451.jpg
2026-04-15 10:21:41,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102141_942756.jpg
2026-04-15 10:21:44,esp32,uncertain,100.00,unknown,100.00,0,Khong xac nhan duoc danh tinh,1,camera_auto_20260415_102144_080420.jpg
2026-04-15 10:21:46,esp32,uncertain,100.00,unknown,100.00,0,Khong xac nhan duoc danh tinh,1,camera_auto_20260415_102146_379300.jpg
